waa’ankieli	escamaen el tobillo
waalivapaus	libertad electoral
waalivilppi	fraude electoral
waalivoitto	victoria electoral
waalivuosi	año electoral
waanija	acosador
waaninta	acecho
waappu	escudo de armas
waapsahainen	sierra de peluca
waapsiainen	capsicum
waapukka	wobbler
waapunta	bamboleo
waaputus	agitar
waara	peligro
waara	peligro
waara-alue	perímetro de seguridad
waara-alue	perímetro de seguridad
waara-asutus	liquidación de riesgos
waarailmoitus	aviso de peligro
waarain	peligro
waarajono	cola de peligro
waarallisuus	peligrosidad
waaramerkki	señal de peligro
waaranlaki	ley de Peligro
waaranmerkki	señal de peligro
waaranrinne	pendiente de peligro
waarapaikka	punto negro
waaratekijä	peligro
waaratiedote	hoja de información de riesgos
waaratilanne	incidente
waarattomuus	inocuidad
waaravyöhyke	zona peligrosa
waari	abuelo
waari	abuelo
waarinkaktus	cactus frambuesa
waarinkalja	cerveza gruñona
waarinkukka	flor de abuelo
waarinotto	intolerancia
waarna	clavija
waarnaliitos	junta de estaca
waarnapultti	perno de estaca
waarnaruuvi	bulón de anclaje
waarnaus	estaca
waarunta	peligro
waasi	florero
waate	Ropa
waateapu	guardarropa
waateavustus	asistencia de avistamiento
waatehankinta	adquisición de ropa
waateharja	cepillo para ropa
waatehtimo	guardarropa
waatehuolto	cuidado de prendas de vestir
waatehuoltohuone	sala del armario
waatehuone	armario con vestidor
waatekaappi	guardarropa
waatekappale	prenda
waatekauppa	tienda de ropa
waatekauppias	minorista de ropa
waatekerta	guardarropa
waatekoi	polilla de las crines y de la lana
waatekoko	talla de prenda
waatekomero	armario
waatekoukku	gancho para ropa
waatelappu	guardarropa
waateliaisuus	codicia
waatemytty	soporte de ropa
waatenaulakko	perchero para armario
waatenyytti	dumpling de prendas
waateosasto	departamento DE confección
waateparsi	guardarropa
waatepuu	guardarropa
waateraha	dinero a la vista
waateripustin	Percha
waatesuunnittelija	diseñadora de moda
waatesuunnittelu	diseño de moda
waatesäilö	guardarropa
waatetanko	barra de ropa
waateteollisuus	industria de la confección
waatetus	indumentaria
waatetusala	industria de la confección
waatetusapu	accesorio de ropa
waatetusliike	tienda de ropa
waatetusmeno	gasto en ropa
waatetussuunnittelija	diseñador de ropa
waatetusteollisuus	industria de la confección
waatetäi	piojo del cuerpo
waatevalmistaja	fabricante de prendas de vestir
waatija	reclamante
waatimattomuus	modestia
waatimus	demanda
waatimustaso	norma
waativuus	exigencia
waativuusluokitus	clasificación de gravedad
waatturi	sastre
waatturinliike	taller de garaje
waatturinliitu	cáliz de sastre
waatturintyö	trabajo de secretario
waavi	vaavi
wadelma	frambuesa
wadelmahillo	Compota de frambuesa
wadelmamehu	zumo de frambuesa
wadelmapensaikko	exfoliante de frambuesa
wadelmapensas	arbusto de frambuesa
wadelmatee	té de frambuesa
wadelmikko	frambuesa
wadi	"wadi","wady"
wadillinen	frambuesa
waellus	fluctuación lenta de fase
waelluskala	peces migratorios
waelluskenkä	zapatilla de senderismo
waelluslintu	ave migratoria
waellusmatka	excursión de senderismo
waellusreitti	ruta de senderismo
waellusretki	excursión de senderismo
waellussiika	cerdo de senderismo
waellussuunnistus	senderismo orientación
waellusteltta	tienda de campaña para senderismo
waellusvietti	instinto de senderismo
waeltaja	excursionista
waeltelu	Vagar
wagina	vagina
waginakuula	bola vaginal
waginismi	Vaginismo
waha	cera
wahakabinetti	armario de cera
wahakakku	torta de cera
wahakangas	paño de cera
wahakas	ceroso
wahakoisa	ceroso
wahakuva	imagen de cera
wahakynttilä	vela de cera
wahaliitu	pacto de cera
wahanukke	cera
wahapaperi	papel parafinado
wahapapu	frijolillo
wahaplastiikka	plástico de cera
wahaus	Depilar
wahaveistos	escultura de cera
wahdinpito	escucha
wahdinta	niñera
wahdinvaihto	cambio de guardia
wahhabiitti	wahabita
wahhabilaisuus	wahabismo
wahhabismi	wahabismo
wahingoittuma	daños
wahingollisuus	nocividad
wahingonilo	daño placer
wahingonkorvaus	reparación de daños
wahingonkorvausvaatimus	ejercicio de la acción civil
wahingonkorvausvelvollisuus	responsabilidad de daños y perjuicios
wahingonlaukaus	tiro de daño
wahingontekijä	perpetrador
wahingonteko	delito de daños
wahinko	daño
wahinkoeläin	animal plaga
wahinkolaukaus	disparo accidental
wahinkovakuutus	seguro no vida
wahti	guardia
wahtikoira	perro guardián
wahtimestari	conserje
wahtiparaati	desfile de perros guardianes
wahtisotilas	centinela
wahtivuoro	ver
wahvahermoisuus	fuerte nerviosismo
wahvari	amplificador
wahvennos	amplificación
wahvennus	amplificación
wahventuma	ganancia
wahvero	cera
wahvike	pieza de refuerzo
wahvikerauta	crayón de refuerzo
wahvistaja	amplificador
wahviste	refuerzo
wahvistin	amplificador
wahvistus	refuerzos nacionales
wahvistusjoukko	conjunto de confirmación
wahvistussana	palabra de confirmación
wahvuus	Dosis
wahvuusalue	rango de resistencia
waiennus	silenciamiento
waihdanta	intercambio
waihdantatalous	economía de intercambio
waihde	punto de conmutación
waihdekeppi	palanca de cambios
waihdelaatikko	caja de cambios
waihdepyörä	rueda dentada
waihdetanko	varilla para el mando de agujas
waihdettavuus	intercambiabilidad
waihdevipu	leva de conmutación
waihdevuodet	Cambio de Vida
waihdin	intercambiador
waihdokas	changeling
waihdokki	cambiador
waihdos	inversión
waihdunta	conmutación
waihduntakuvio	patrón de cambio
waihe	estadio
waiheikkuus	puesta en fase
waiheistus	puesta en fase
waihejohdin	fase
waihejännite	tensión de fase
waihetyö	trabajo por fases
waihetyöntekijä	trabajador de fase
waihtaja	inversor
waihtari	cambiador
waihteisto	caja de cambios
waihteistoöljy	aceite para engranajes
waihtelu	variación
waihtelualue	rango
waihtelunhalu	disposición a fluctuar
waihteluraja	límite de fluctuación
waihteluväli	margen de fluctuación
waihto	sustitución
waihtoaitio	caja de cambio
waihtoalue	rango de conmutación
waihtoarvo	valor de cambio
waihtoaskel	paso de sustitución
waihtoauto	coche de cambio
waihtoautohalli	intercambiar garaje
waihtoehto	opción
waihtoehtoisuus	opcionalidad
waihtoehtoliike	movimiento alternativo
waihtoehtolääkintä	terapia alternativa
waihtojännite	tensión alterna
waihtokassa	caja registradora convertible
waihtokauppa	trueque
waihtokurssi	tipo de conversión
waihtolava	paleta intercambiable
waihtolyöjä	palanca de cambios
waihtolyönti	punzón de intercambio
waihtomatto	tapete de repuesto
waihtomies	hombre de reemplazo
waihto-ohjelma	programa de intercambio
waihto-oikeus	opción de compra sobre swap
waihto-omaisuus	capital de explotación
waihto-opiskelija	estudiante de intercambio
waihto-oppilas	estudiante de intercambio
waihtopelaaja	jugador sustituto
waihtopenkki	banco de repuesto
waihtopiiri	circuito de intercambio
waihtopullo	botella de repuesto
waihtoraha	cambio
waihtoreaktio	reacción de intercambio
waihtosuhde	términos del intercambio
waihtosuuntaaja	ondulador electrónico
waihtosähkö	corriente alterna
waihtosähkövastus	resistencia de corriente alterna
waihtotalous	economía de intercambio
waihtotase	saldo de las operaciones corrientes con el exterior
waihtotavara	cambiar artículo
waihtotori	mercado cambiario
waihtovaate	cambio de ropa
waihtovelkakirja	obligación convertible en acciones
waihtovelkakirjalaina	obligación convertible
waihtovirta	corriente alterna
waihtovirtageneraattori	alternador
waihtovirtalaite	dispositivo de CA
waihtovirtamoottori	motor de CA
waihtoväline	herramienta de sustitución
waihtumisnopeus	tasa de cambio
waihtuvuus	volumen de negocios
waijeri	cable
waijerilukko	sujetacables
waikeaselkoisuus	oscuridad
waikeatajuisuus	dificultad en la comprensión
waikeaymmärteisyys	comprensión difícil
waikerointi	gemidos
waikerrus	recorte predeterminado
waikeus	Frecuencia
waikeusaste	Dificultad
waikeutus	dificultad
waikku	Cerumen
waikute	estás en silencio
waikutelma	impresión
waikutin	motivación
waikuttaja	influencer
waikuttajayksilö	influencer individual
waikuttavuus	eficacia
waikutus	efecto
waikutusaika	tiempo entre deshielo y despegue
waikutusalue	círculo de influencia
waikutuskanava	canal de influencia
waikutuskeino	medios de influencia
waikutusmahdollisuus	influencia
waikutusmekanismi	Mecanismo de acción
waikutuspiiri	esfera de influencia
waikutuspiste	punto de ataque
waikutussuhde	relación de influencia
waikutussuora	línea de acción
waikutussuunta	dirección del impacto
waikutusvalta	poder
waikutusvoima	apalancamiento
waillinaisuus	incompleto
waillinki	vaillinki
waimennin	convertidor lineal longitudinal
waimennus	amortiguamiento
waimo	esposa
waimoihminen	persona esposa
waimoke	wifeie
wainaa	muerto
wainaja	persona muerta
wainajainpalvonta	culto del difunto
wainio	arbor
waino	persecución
wainoaja	acosador
wainoharha	paranoia
wainoharhaisuus	Paranoia
wainohulluus	persecución locura
wainolainen	perseguido
wainooja	acosador
wainovalkea	persecución blanco
wainu	aroma
wainukoira	perro rastreador
waippa	envolvente
waippaeläin	animal de túnica
waippahousut	pañales
waippaihottuma	dermatitis del área del pañal
waippaluoti	bala de pañal
waippapinta	superficie de revestimiento
waisto	Conducta Innata
waistoammunta	disparo instintivo
waistomaisuus	instinto
waistonvaraisuus	instinto
waistotoiminta	acción instintiva
waisuus	locura
waiteliaisuus	silencio
waitiolo	silencio
waitiololupaus	prenda de secreto
waitiolo-oikeus	derecho de confidencialidad
waitiolovelvollisuus	obligación de secreto
waitonaisuus	silencio
waiva	dolencia
waivaaja	alborotador
waivaisenluu	Hallux Abductovalgus
waivaishiiri	ratón de la mieses
waivaiskoivu	abedul trillador
waivaispoika	poodle boy
waivaistalo	buggy house
waivaisukko	calcetín de marionetas
waivaisuus	malestar
waivaisäijä	alborotador
waivalloisuus	incomodidad
waivannäkö	esfuerzo
waivanpalkka	salario por problemas
waivattomuus	sin complicaciones
waivaus	malaxado
waivero	vaivero
waivutus	atenuación
waja	cobertizo almacén
wajaakuntoisuus	discapacidad
wajaakykyisyys	discapacidad
wajaakäyttö	subutilización
wajaakäyttöisyys	subutilización
wajaalaatuisuus	falta de calidad
wajaalämpöisyys	subcalentamiento
wajaamielisyys	incompetencia
wajaamittaisuus	incompleto
wajaaravitsemus	desnutrición.
wajaasärmäisyys	falta de educación
wajaatoiminta	Insuficiencia
wajaatuottoisuus	bajo rendimiento
wajaatyöllisyys	subempleo
wajaaälyisyys	subinteligencia
wajakki	minusválido
wajanaisuus	incompleto
wajarakennus	edificio deficiente
wajauksellisuus	privación
wajaus	volumen de expansión
wajavaisuus	deficiencia
wajavuus	deficiencia
waje	déficit
wajennus	atenuación
wajoama	desplome
wajovesi	agua de penetración
wakaaja	estabilizador automático
wakain	estabilizador
wakakuva	imagen
wakallinen	formal
wakanssi	defecto Schottky
wakaumuksellisuus	condena
wakaumus	condena
wakaumussyy	motivo de condena
wakaus	Estabilidad
wakaus	Estabilidad
wakausleima	sello de estabilidad
wakauttamispolitiikka	política de estabilización
wakauttamissopimus	pacto de estabilización
wakautus	estabilización
wakautussopimus	pacto de estabilización
wakavaraisuus	solvencia
wakavuus	estabilidad
wakiasiakas	cliente habitual
wakiinnutus	consolidación
wakikävijä	visitante habitual
wakinaisuus	perpetuidad
wakioarvo	valor constante
wakioasiakas	cliente habitual
wakioauto	coche estándar
wakiohinta	precio estándar
wakiointi	Standardización
wakioisuus	constancia
wakiokalusto	equipo estándar
wakiokoko	tamaño estándar
wakiokoostumus	formulación estándar
wakiolaatu	calidad tipo
wakiomalli	tipo estándar
wakiomitta	dimensión estándar
wakionopeudensäädin	control de crucero
wakionopeus	velocidad constante
wakionopeussäädin	control de crucero
wakiopistooli	pistola estándar
wakiopistooliammunta	tiro con pistola estándar
wakiopituus	longitud estándar
wakioselitys	explicación estándar
wakiosopimus	contrato tipo
wakiosuhde	relación estándar
wakiosuure	cantidad estándar
wakiotanssi	danza estándar
wakiotyyppi	tipo estándar
wakiovaruste	accesorio estándar
wakioveikkaus	Quiniela
wakiovuoro	servicio regular
wakipaikka	lugar habitual
wakka	vACA
wako	surcos
wakoaura	acaballonador
wakoilija	espía
wakoilu	Espionaje
wakoilujuttu	caso de espionaje
wakoilujärjestö	organización de espionaje
wakoiluohjelma	spyware
wakoilusatelliitti	satélite espía
wakoilutoiminta	actividades de espionaje
wakoiluverkko	red de espionaje
wakokylvö	siembra en surcos
wakolaakso	valle
wakooja	espía
wakoruutukylvö	siembra de pantalla plana
wakosametti	pana
wakoväli	espaciado
waksi	coque
wakuumi	vacío
wakuumipakkaus	envase al vacío
wakuus	garantía
wakuusmuoto	tipo de garantía
wakuusrahasto	caja de aval
wakuussitoumus	suscripción
wakuustodistus	título de garantía
wakuutettu	asegurado
wakuuttavuus	capacidad de persuasión
wakuuttelu	afirmación
wakuutuksenantaja	asegurador
wakuutuksenottaja	tomador de seguro
wakuutus	seguro
wakuutusaika	periodo de seguro
wakuutusala	ramo de seguro
wakuutusarvo	valor declarado
wakuutusasiamies	corredor
wakuutusehto	plazo del seguro
wakuutushakemus	solicitud de seguro
wakuutuskausi	período de seguro
wakuutuskilpi	placa de seguro
wakuutuskirja	póliza de seguro
wakuutuskohde	objeto de seguro
wakuutuskorvaus	indemnización del seguro
wakuutuslaitos	compañía de seguros
wakuutuslääkäri	médico de seguros
wakuutusmaksu	prima
wakuutusmaksuerä	cuota premium
wakuutusmatemaatikko	actuario
wakuutusmatematiikka	matemática actuarial
wakuutusmäärä	importe del seguro
wakuutusneuvos	asesor de seguros
wakuutusoikeus	derecho de seguros
wakuutuspetos	fraude de seguros
wakuutussopimus	contrato de seguro
wakuutussumma	suma asegurada
wakuutustapahtuma	evento de seguro
wakuutusturva	cobertura del seguro
wakuutusyhdistelmä	combinación de seguros
wakuutusyhtiö	sociedad de seguros
wala	juramento
walaanpyynti	pesca de ballenas
walaanpyyntialus	buque ballenero
walaanrasva	grasa de ballena
walaantraani	valantran
walaehtoisuus	juramento
walahdus	luz
walaisin	luminaria
walaisinpylväs	farola
walaistus	iluminación
walaistuslaite	dispositivo de iluminación
walaistusmestari	campeón de iluminación
walaistustekniikka	luminotecnia
walaistusvoimakkuus	poder iluminante
walaisu	iluminación
walaisuammus	proyectil de iluminación
walaja	operador del registro de vertido
walakka	caballo castrado
walaliitto	confederación de los Valles
walamiehistö	Jurado
walamies	jurado
walamiesoikeus	tribunal del jurado
walannainen	valanna
walannos	dosis ligera
walanottaja	whitelighter
walanrikkoja	perpetrador
walanta	valanta
walanteko	hacer juramentos
walantekotilaisuus	ceremonia de juramento
walanvannoja	juramentos
walanvannonta	juramento
walapattoisuus	perjurio
walas	ballena
walaskala	ballena
walastus	blanqueamiento
waldorfinsalaatti	ensalada waldorf
wale	dirección falsa
waleasiakirja	documento falso
waleasu	disfraz
waleavioliitto	matrimonio simulado
walehtelija	mentiroso
walehtelu	bola
walehyökkäys	ataque falso
waleikkuna	falsas ventanillas
walekauppa	tienda falsa
walekuolema	fallecimiento falso
walekuristustauti	grupa irregular
walelma	valelma
walelu	vertido
walemedia	formula media
walemuisto	memoria falsa
walenivel	Pseudoartrosis
walenssi	valencia
waleoikeustoimi	transacción pseudo-judicial
waleosto	compra falsa
waleparta	barba postiza
walepukki	mentiroso
walepuku	disfraz
waleraskaus	EMBARAZO FALSO
waleriaana	Valeriana
waleskorpioni	falso escorpión
walesokkeli	falso plinto
walesypressi	falso ciprés
waletasku	bolsillo falso
waletiineys	falsa inmunidad
waleuutinen	noticias falsas
walhe	mentir
walheellisuus	falsedad
walheenpaljastin	polígrafo
walheenpaljastuskoe	prueba de polígrafo
waliditeetti	validez
walidius	validez
walidointi	validación
walikko	menú
walikko-ohjaus	control de menú
walikoima	paleta
walikointi	selección
walimo	fundición
walin	selector
walinkauha	cubo selectivo
walinnaisaine	optativa
walinnaisuus	opcionalidad
walinnanvapaus	libertad de elección
walinnanvara	elección
walinta	elección
walintakoe	prueba de acceso
walintakriteeri	criterio de selección
walintalevy	disco selector
walintamahdollisuus	elección
walintamyymälä	supermercado
walintaoikeus	derecho a elegir
walintaperuste	criterio de selección
walintaääni	tono para poder llamar
walio	selecto
walioampuja	francotirador
waliojoukko	conjunto premier
waliokunta	comisión del Comité de las Regiones
waliokuntakäsittely	actas del comité
waliokuntaneuvos	asesor del comité
waliokuntatyöskentely	trabajo del comité
walioluokka	clase de campeones
waliourheilija	atleta campeón
walioyksilö	campeón individual
walistaja	educador
walistus	Ilustración
walistusaate	idea de Ilustración
walistusaika	período de la Ilustración
walistusfilosofi	filósofo de la iluminación
walistusfilosofia	filosofía de la iluminación
walistuskampanja	campaña de sensibilización
walistuskirjailija	educador
walistuskirjallisuus	literatura educativa
walitettavuus	desafortunado
walitsija	de la aguja
walitsijajoukko	conjunto de selectores
walitsijakunta	electorado
walitsijamies	electorado
walitsijamiesehdokas	candidato electoral
walitsijamiesvaali	elecciones electorales
walitsijayhdistys	asociación de circunscripción
walitsin	selectores
walitsinluuri	auricular
walittaja	recurrente
walittelu	quejarse
walituksenteko	presentación de una reclamación
walitus	recurso
walitusaika	plazo de apelación
walitushuuto	grito de apelación
walituskirjelmä	escrito de demanda
walituslupa	permiso para apelar
walitusmenettely	procedimiento de recurso
walitusohje	instrucciones para apelar
walitusoikeus	derecho de queja
walitusosoitus	indicación de apelación
walitustie	ruta de la queja
walitusvirsi	lamentación
waljaat	Rienda
waljakko	arneses de trabajo
waljakkoajo	Atelaje
waljashihna	correa de arnés
waljastus	aprovechamiento
waljuus	sonoridad
walkaisimo	planta de blanqueo
walkaisu	blanqueado
walkaisuaine	decolorante
walkama	aligerar
walkeus	ligereza
walkkari	blanco
walkkaus	blanqueamiento
walkki	monóxido de carbono
walkoapila	Trébol blanco
walkohehku	resplandor blanco
walkoherukka	grosella de drupas blanca
walkohomejuusto	queso de cuajada blanca
walkohäntäkauris	ciervo de cola blanca
walkohäntäpeura	ciervo de cola blanca
walkoisuus	blancura
walkokaali	Repollo
walkokaarti	guardián blanco
walkokaartilainen	guardias Blancos
walkokangas	pantalla blanca
walkokastike	Besamel
walkokaulusrikollinen	delincuente de cuello blanco
walkokaulusrikollisuus	delito de cuello blanco
walkokaulustyöläinen	trabajador de cuello blanco
walkokaulustyöntekijä	trabajador de cuello blanco
walkokaulustyöttömyys	desempleo de cuello blanco
walkokulta	oro blanco
walkokärpässieni	hongo de la mosca blanca
walkolainen	blanco
walkolakki	gorra blanca
walkomaa	horizonte álbico
walkometalli	metal blanco
walkomulperi	morera
walkonaama	cara blanca
walkoparta	barba blanca
walkopesu	whitewash
walkopippuri	Piper nigrum
walkoposkihanhi	barnacla cariblanca
walkopyykki	ropa blanca
walkopälvi	Alteraciones cutáneas con hipopigmentación
walkopälvisyys	pubescencia blanca
walkoselkätikka	pico dorsiblanco
walko-sinihomejuusto	queso blanco-azul
walkosipuli	ajo
walkosipulijauhe	ajo en polvo
walkosipuliletti	contador de ajo
walkosipulinkynsi	diente de ajo
walkosipulinpuristin	prensa de ajo
walkosipuliperunat	patatas al ajo
walkosipulisuola	sal de ajo
walkosipulivoi	mantequilla de ajo
walkosolu	leucocito
walkosormisuus	enfermedad de Raynaud
walkosuklaa	Productos de confitería, a base de azúcar; chocolate blanco
walkotakki	chaqueta blanca
walkotaulu	pizarra
walkotähkäisyys	manchas blancas
walkovaseliini	vaselina blanca
walkovatsuri	pullorosis
walkovenäjä	Bielorrusia
walkoviini	vino blanco
walkoviinilasi	vaso de vino
walkovillakas	lana blanca
walkovirkkaus	crochet blanco
walkovuokko	sebuda
walkovuoto	LEUCORREA
walkuainen	Proteína
walkuaisaine	prótido
walkuaisainepitoisuus	tenor de proteínas
walkuaispitoisuus	contenido proteico
walkuaisrehu	pienso proteico
walkuaistarve	requerimiento de proteínas
walkuaisvaahto	espuma de proteínas
walkuaisvirtsaisuus	proteinuria
walkyria	Valquiria
wallanhalu	ansia de poder
wallanhimo	ansia de poder
wallanjako	separación de poderes
wallanjako-oppi	doctrina de poder compartido
wallankaappaaja	usurpador
wallankaappaus	Golpista
wallankeikaus	reinado
wallankeskitys	concentración de poder
wallankumouksellisuus	revolucionario
wallankumous	Revolución
wallankumousaate	idea revolucionaria
wallankumousarmeija	ejército revolucionario
wallankumousjohtaja	líder revolucionario
wallankäyttäjä	soporte de potencia
wallankäyttö	potencia
wallanperijä	heredero del poder
wallanperimys	herencia del poder
wallanperimysjärjestys	orden de sucesión
wallanpito	mantenimiento de energía
wallanpitäjä	titular del poder
wallansiirto	transferencia de poder
wallantavoittelija	buscador de poder
wallasnainen	power woman
wallassaolija	los que están en el poder
wallassaolo	posesión
wallassääty	estatuto de poder
wallattomuus	impotencia
wallesmanni	valdesmanni
walli	muralla
wallihauta	Foso
wallintaoikeus	derecho de posesión
walliriutta	barrera de coral
walloittaja	conquistador
walloitus	conquista
walloitusretki	expedición de conquista
walloitussota	guerra de conquista
walloni	valón
walmennus	formación
walmennuskurssi	cursillo de instrucción
walmennusleiri	coaching camp
walmennusohjelma	programa de coaching
walmennusrengas	anillo de entrenamiento
walmentaja	Entrenador
walmisateria	platos preparados
walmisbetoni	hormigón premezclado
walmismatka	viaje combinado
walmisosa	pieza acabada
walmispitsa	pizza lista para comer
walmispizza	pizza preparada
walmispuku	traje confeccionado
walmisruoka	alimento precocinado
walmistaja	fabricante
walmistalo	construcciones prefabricadas
walmistamo	planta de fabricación
walmiste	preparado
walmistelija	ponente de opinión
walmistelu	instrucción
walmisteluelin	órgano preparatorio
walmistelukunta	convención
walmisteluvaihe	Fase preparatoria
walmistenumero	vIN
walmistevero	impuesto sobre consumos específicos
walmistujaiset	graduación
walmistumisaika	hora de finalización
walmistus	industria manufacturera
walmistusaika	tiempo de trabajo
walmistusaine	ingrediente
walmistuserä	lote de fabricación
walmistushakkuu	corta preparatoria
walmistuskulut	costes de fabricación
walmistuskustannukset	precio de la producción
walmistuslisenssi	licencia de fabricación
walmistusmaa	país de fabricación
walmistusmenetelmä	proceso de fabricación
walmistusohje	informe técnico de fabricación
walmistuspaikka	sitio de fabricación
walmistusprosessi	Proceso de elaboración
walmistuspäivä	preparación
walmistustekniikka	técnica de producción
walmistusvaihe	fase de producción
walmistusvika	defecto de fabricación
walmistusvirhe	defecto de fabricación
walmistusvuosi	Año de construcción
walmisvaate	prenda prêt-à-porter
walmisvaateteollisuus	industria del prêt-à-porter
walmius	PREPARACIÓN
walmiusaika	tiempo de reacción
walmiusasema	estación de espera
walmiusasento	posición de espera
walmiusaste	grado de preparación
walmiusjoukko	conjunto de espera
walmiuslaki	ley de Preparación para Emergencias
walmiuslaukku	cesta lista
walmiusohjelma	programa en espera
walmiusryhmä	equipo de preparación
walmiustila	estado de espera
walmiusyksikkö	unidad de reserva
walmu	listo
walmuska	preparación
walo	luz
waloaallot	ondas de luz
waloaistin	iluminador
waloallergia	alergia leve
waloammus	bengala
walodiodi	diodo emisor de luz
waloefekti	efecto de luz
waloelin	cuerpo de luz
walohakuisuus	fotofobia
waloherkkyys	sensibilidad luminosa
walohoito	baño luminoso
walohoitolaite	dispositivo de fototerapia
walohämy	luz tenue
waloihottuma	fotodermatitis
waloilmiö	fotometeoro
waloisuus	luminosidad
walojuova	línea de luz
walojuova-ammus	bandas de municiones ligeras
walojuovaluoti	bala de luz de rayas
walojäljennös	fotocopia
walokaapeli	cable fibroóptico
walokaappi	armario de luces
walokaari	arco voltaico
walokatkaisin	interruptor de luz
walokehä	círculo de luz
walokeila	foco
walokemia	fotoquímica
walokenno	célula fotosensible
walokiila	cuña ligera
walokirjain	letra clara
walokopio	fotocalco
walokopiointi	fotoimpresión
walokopiokone	fotocopiadora
walokopiopaperi	Papel para fotocopiadora
walokuitu	fibra óptica
walokuitukaapeli	cable de fibra óptica
walokuva	foto
walokuvaaja	fotógrafo
walokuva-albumi	álbum de fotos
walokuvaamo	estudio fotográfico
walokuvakansio	carpeta de fotos
walokuvamalli	plantilla de foto
walokuvamontaasi	montaje fotográfico
walokuvankehys	marco de fotos
walokuvanäyttely	exposición de fotos
walokuvapaperi	Papel fotográfico
walokuvasuurennos	mejora de fotos
walokuvataide	fotografía
walokuvauksellisuus	fotografía
walokuvaus	fotografiar
walokuvauskamera	cámara fotográfica
walokuvauskilpailu	concurso de fotografía
walokuvausliike	tienda de fotografía
walokuvaussafari	safari fotográfico
walokuvaustarvike	accesorio fotográfico
walokuvaustekniikka	técnica fotográfica
walokvantti	fotovoltaica
walokynä	lápiz óptico
walokytkin	fotoacoplador
waloladonta	fotocomposición
